Cách nói dân dã	Thuật ngữ chuẩn
ống dầu	ống thủy lực
ống mềm	ống thủy lực
ống bố	ống thủy lực nhiều lớp thép bện
zắc co	rắc co
đầu nối Mỹ	đầu nối ren NPT
đầu nối Anh	đầu nối ren BSP
cút	cút nối góc (elbow)
măng sông	măng sông nối ống (union)
đầu bít	đầu bít ren (plug/cap)
khớp nối lụa	khớp nối nhanh (quick coupling)
ren đực	đầu nối ren ngoài (male thread)
ren cái	đầu nối ren trong (female thread)
1 phân	10mm
2 phân	20mm
ống 1 lớp thép	ống thủy lực 1 lớp thép bện SAE 100R1AT
ống 2 lớp thép	ống thủy lực 2 lớp thép bện SAE 100R2AT
ống 4 lớp thép	ống thủy lực 4 lớp thép bện 4SP/4SH
mặt bích	mặt bích thủy lực (flange)
